Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-19,CESC,EQ,584.9,586.35,593.0,579.8,591.0,590.9,587.48,226808,13324463495000.0,7072,38199,0.1684
2015-10-20,CESC,EQ,590.9,591.0,606.4,584.25,597.65,600.15,599.59,332787,19953558795000.0,10537,66196,0.19890000000000002
2015-10-21,CESC,EQ,600.15,605.0,611.2,590.75,598.25,597.05,601.22,263203,15824293235000.0,7896,44617,0.16949999999999998
2015-10-23,CESC,EQ,597.05,597.5,608.95,597.5,606.0,605.4,605.03,122799,7429672605000.0,4907,38335,0.3122
2015-10-26,CESC,EQ,605.4,610.85,612.0,596.5,604.2,604.05,604.86,148372,8974411280000.0,5381,28042,0.189
2015-10-27,CESC,EQ,604.05,604.05,609.0,597.3,604.1,605.3,604.93,207065,12525917310000.0,6415,74878,0.3616
2015-10-28,CESC,EQ,605.3,603.7,608.5,598.3,599.2,601.65,602.77,252998,15249958305000.002,7583,87382,0.3454
2015-10-29,CESC,EQ,601.65,601.5,601.5,578.05,590.0,584.1,584.26,645082,37689329080000.0,10841,353499,0.5479999999999999
2015-10-30,CESC,EQ,584.1,585.9,593.4,577.7,581.75,581.4,586.47,344001,20174688015000.0,10928,108123,0.3143
2015-11-02,CESC,EQ,581.4,580.95,591.7,571.5,580.45,579.35,579.26,325605,18860915630000.0,13441,94492,0.2902
2015-11-03,CESC,EQ,579.35,581.1,586.5,573.0,575.35,575.25,576.41,322658,18598222295000.0,9848,85460,0.26489999999999997
2015-11-04,CESC,EQ,575.25,575.75,586.1,573.25,574.5,576.75,579.46,335309,19429727010000.0,10084,103299,0.3081
2015-11-05,CESC,EQ,576.75,576.3,578.1,551.2,551.8,555.45,562.65,487141,27408976325000.0,16033,155012,0.3182
2015-11-06,CESC,EQ,555.45,556.85,556.85,519.45,540.0,538.55,533.1,573701,30584227275000.0,15835,248857,0.4338
2015-11-09,CESC,EQ,538.55,530.0,541.0,521.0,534.8,537.25,534.69,393663,21048797720000.0,10904,114190,0.2901
2015-11-10,CESC,EQ,537.25,534.95,539.8,521.45,525.0,525.15,526.95,276602,14575437840000.0,8648,108022,0.39049999999999996
2015-11-11,CESC,EQ,525.15,535.0,535.0,525.5,525.7,527.85,528.9,25693,1358899635000.0,1399,11245,0.43770000000000003
2015-11-13,CESC,EQ,527.85,519.55,572.55,514.5,557.05,556.7,551.85,2111792,116538271330000.0,49155,483394,0.22890000000000002
2015-11-16,CESC,EQ,556.7,556.25,556.4,540.05,550.0,548.8,547.33,523501,28652630225000.0,21133,178551,0.3411
2015-11-17,CESC,EQ,548.8,550.0,553.8,534.3,543.15,541.85,542.7,484352,26285906130000.0,18026,164576,0.3398
2015-11-18,CESC,EQ,541.85,542.5,551.7,537.4,540.0,540.8,544.56,364579,19853417565000.0,13664,124711,0.3421
2015-11-19,CESC,EQ,540.8,542.0,548.25,537.9,541.0,540.2,542.56,211847,11493881400000.0,8901,62231,0.2938
2015-11-20,CESC,EQ,540.2,540.0,546.85,536.6,540.35,541.8,542.07,315705,17113291390000.0,14886,119340,0.378
2015-11-23,CESC,EQ,541.8,542.4,562.5,541.45,557.25,558.6,553.67,452644,25061396355000.0,12486,129374,0.2858
2015-11-24,CESC,EQ,558.6,563.0,563.95,552.0,556.0,555.05,557.53,552158,30784650275000.0,24360,183501,0.3323
2015-11-26,CESC,EQ,555.05,555.85,558.5,546.1,548.0,548.85,551.38,565926,31204190845000.0,22863,288670,0.5101
2015-11-27,CESC,EQ,548.85,550.0,556.45,545.85,551.0,551.3,550.88,274804,15138497705000.002,12710,97693,0.3555
2015-11-30,CESC,EQ,551.3,552.0,557.95,549.05,551.45,550.5,550.83,325132,17909223435000.0,18754,183076,0.5631
2015-12-01,CESC,EQ,550.5,551.6,558.35,551.6,557.15,556.1,555.3,182124,10113271190000.0,13660,69931,0.384
2015-12-02,CESC,EQ,556.1,558.0,577.0,557.95,570.0,571.7,570.72,623690,35595034960000.0,24498,153675,0.2464
2015-12-03,CESC,EQ,571.7,574.0,574.35,552.4,554.3,555.0,565.16,452852,25593164255000.0,15104,229149,0.506
2015-12-04,CESC,EQ,555.0,552.0,563.8,549.0,554.0,553.2,556.26,277061,15411795665000.0,16069,67526,0.24370000000000003
2015-12-07,CESC,EQ,553.2,553.25,561.0,550.5,556.0,556.0,555.24,219637,12195085110000.0,9828,45354,0.2065
2015-12-08,CESC,EQ,556.0,556.0,567.75,542.4,544.15,546.1,557.2,547038,30480914595000.0,19839,220108,0.40240000000000004
2015-12-09,CESC,EQ,546.1,535.0,539.75,506.3,514.9,516.6,518.26,1511067,78312939495000.0,28643,627744,0.4154
2015-12-10,CESC,EQ,516.6,516.0,525.45,512.25,513.0,514.1,516.53,740997,38274470210000.0,19431,217241,0.2932
2015-12-11,CESC,EQ,514.1,512.3,528.35,505.55,516.6,517.15,517.88,641647,33229356875000.0,16402,111168,0.17329999999999998
2015-12-14,CESC,EQ,517.15,516.0,521.8,508.4,517.0,517.8,515.6,458960,23664028500000.0,12738,88956,0.1938
2015-12-15,CESC,EQ,517.8,515.0,523.95,514.35,517.85,518.65,518.84,445689,23124231950000.0,11993,131002,0.2939
2015-12-16,CESC,EQ,518.65,520.0,521.0,494.45,503.1,502.2,507.22,1526411,77423102435000.0,28618,813008,0.5326
2015-12-17,CESC,EQ,502.2,503.5,511.0,498.05,508.2,508.7,503.84,663298,33419621835000.004,21750,201716,0.3041
2015-12-18,CESC,EQ,508.7,508.2,512.45,504.5,506.6,508.1,509.44,740147,37706333405000.0,14999,382632,0.517
2015-12-21,CESC,EQ,508.1,509.0,511.0,500.05,509.95,509.1,506.54,371080,18796725580000.0,18387,110132,0.2968
2015-12-22,CESC,EQ,509.1,512.0,512.0,507.0,510.7,510.0,510.24,662067,33781570939999.996,11126,436294,0.659
2015-12-23,CESC,EQ,510.0,512.3,514.0,504.1,511.05,510.5,510.2,495647,25287825405000.0,7383,162458,0.32780000000000004
2015-12-24,CESC,EQ,510.5,513.0,525.0,510.5,524.6,522.9,515.15,1093948,56354997285000.0,14977,356301,0.3257
2015-12-28,CESC,EQ,522.9,528.1,528.85,515.05,516.1,516.35,519.67,607026,31545315875000.0,15686,224061,0.3691
2015-12-29,CESC,EQ,516.35,518.0,519.65,508.65,513.0,511.6,513.27,348986,17912453765000.0,9047,125050,0.3583
2015-12-30,CESC,EQ,511.6,515.0,520.95,512.1,518.55,518.2,517.0,283354,14649265085000.0,8615,124177,0.43820000000000003
2015-12-31,CESC,EQ,518.2,518.0,519.5,509.0,514.0,513.6,514.27,465609,23945020715000.0,8521,220771,0.4742
2016-01-01,CESC,EQ,513.6,513.6,521.95,513.4,518.0,517.45,518.26,289739,15016066694999.998,7320,102675,0.3544
2016-01-04,CESC,EQ,517.45,517.45,526.5,513.8,520.3,522.55,522.75,473789,24767437750000.0,19938,174303,0.3679
2016-01-05,CESC,EQ,522.55,523.5,525.45,515.0,516.95,516.2,518.37,278472,14435094215000.0,5429,128416,0.4611
2016-01-06,CESC,EQ,516.2,518.05,519.5,510.0,511.15,512.4,514.5,268346,13806336635000.0,8301,89326,0.3329
2016-01-07,CESC,EQ,512.4,510.05,510.05,482.3,489.0,490.2,491.57,684708,33657953614999.996,15907,279909,0.40880000000000005
2016-01-08,CESC,EQ,490.2,491.45,499.4,490.25,495.0,494.05,495.42,231169,11452538775000.0,7736,92921,0.402
2016-01-11,CESC,EQ,494.05,491.2,496.0,486.1,490.95,490.25,491.53,197480,9706804725000.0,6508,57059,0.2889
2016-01-12,CESC,EQ,490.25,490.5,498.45,488.4,492.5,493.0,491.22,352342,17307571535000.0,8290,160434,0.45530000000000004
2016-01-13,CESC,EQ,493.0,495.0,496.95,465.0,481.0,480.95,479.63,438142,21014735860000.0,9781,174577,0.39840000000000003
2016-01-14,CESC,EQ,480.95,472.7,472.9,460.95,462.75,462.75,466.92,261996,12233021295000.0,8690,72584,0.277
2016-01-15,CESC,EQ,462.75,462.75,469.0,450.2,454.45,453.25,458.93,458424,21038604825000.0,11424,191654,0.4181
2016-01-18,CESC,EQ,453.25,451.9,457.6,441.55,442.05,444.75,447.4,1334794,59719105860000.0,6738,1129240,0.846
2016-01-19,CESC,EQ,444.75,444.0,473.0,442.15,456.1,457.0,462.12,509021,23522661650000.0,17024,159534,0.3134
2016-01-20,CESC,EQ,457.0,452.4,452.4,436.25,442.65,444.15,439.85,626349,27549983235000.004,9471,453974,0.7248
2016-01-21,CESC,EQ,444.15,449.0,457.35,436.9,440.0,440.45,444.83,250807,11156716195000.0,10490,61854,0.2466
2016-01-22,CESC,EQ,440.45,444.0,455.0,440.55,447.5,448.75,449.24,875019,39309498125000.0,30600,189509,0.21660000000000001
2016-01-25,CESC,EQ,448.75,452.5,456.9,426.8,432.0,431.55,443.61,1157383,51343158525000.0,20468,349185,0.3017
2016-01-27,CESC,EQ,431.55,430.6,449.1,428.35,448.0,447.15,442.33,889896,39362434570000.0,19384,382580,0.4299
2016-01-28,CESC,EQ,447.15,450.0,452.9,438.65,446.0,448.45,446.92,1414968,63237415665000.0,16411,383851,0.2713
2016-01-29,CESC,EQ,448.45,448.5,455.75,442.6,453.55,452.3,450.9,860885,38817515925000.0,26094,377398,0.43840000000000007
2016-02-01,CESC,EQ,452.3,456.05,456.05,446.5,448.35,450.35,450.75,271004,12215410285000.0,14046,69321,0.25579999999999997
