Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-27,CESC,EQ,769.6,775.7,783.95,770.3,777.0,775.75,777.19,280061,21765956460000.0,15306,104246,0.3722
2019-08-28,CESC,EQ,775.75,777.0,781.2,762.3,764.15,765.6,773.45,265699,20550608790000.0,15360,119730,0.45060000000000006
2019-08-29,CESC,EQ,765.6,765.6,766.0,748.1,759.5,756.7,756.0,223527,16898644400000.0,10713,72159,0.32280000000000003
2019-08-30,CESC,EQ,756.7,760.45,780.0,760.0,778.5,774.5,771.77,403306,31125976710000.004,23481,170587,0.423
2019-09-03,CESC,EQ,774.5,767.05,798.5,759.0,763.0,763.05,785.61,676964,53183040745000.0,17094,309267,0.4568
2019-09-04,CESC,EQ,763.05,763.1,769.7,751.4,755.05,754.1,760.29,279879,21279012940000.0,12313,97509,0.34840000000000004
2019-09-05,CESC,EQ,754.1,759.0,768.0,755.15,763.0,764.8,762.65,104316,7955696890000.001,4914,17177,0.16469999999999999
2019-09-06,CESC,EQ,764.8,768.0,793.0,764.0,792.0,784.6,777.11,253691,19714456625000.0,10054,53902,0.2125
2019-09-09,CESC,EQ,784.6,785.0,811.95,784.6,800.6,799.95,800.29,731940,58576673820000.01,20112,159876,0.2184
2019-09-11,CESC,EQ,799.95,799.0,821.35,798.0,819.15,815.65,812.0,609057,49455259255000.0,15072,91050,0.1495
2019-09-12,CESC,EQ,815.65,817.95,833.0,800.8,805.1,805.1,812.31,1102402,89549439675000.0,31967,410668,0.3725
2019-09-13,CESC,EQ,805.1,805.0,827.0,803.65,824.95,824.95,819.23,692855,56760910704999.99,22587,175706,0.2536
2019-09-16,CESC,EQ,824.95,822.9,830.6,816.35,821.2,821.75,822.87,481036,39582783200000.0,12334,140491,0.2921
2019-09-17,CESC,EQ,821.75,818.0,838.45,810.3,818.0,814.6,826.18,1106462,91413620020000.0,29846,352302,0.3184
2019-09-18,CESC,EQ,814.6,819.65,824.95,803.1,814.0,814.7,812.58,529736,43045546985000.0,22112,124269,0.2346
2019-09-19,CESC,EQ,814.7,816.5,816.5,795.9,803.5,802.35,804.5,342618,27563759830000.0,13727,117043,0.34159999999999996
2019-09-20,CESC,EQ,802.35,806.35,848.9,798.4,837.5,841.5,832.3,947055,78822949020000.0,29286,298581,0.3153
2019-09-23,CESC,EQ,841.5,848.4,851.7,805.25,818.6,819.6,816.91,604962,49419881380000.0,22625,214018,0.35380000000000006
2019-09-24,CESC,EQ,819.6,819.05,823.45,781.6,793.95,789.65,796.01,847875,67491355054999.99,23152,325482,0.3839
2019-09-25,CESC,EQ,789.65,796.0,799.85,768.2,768.5,772.0,781.14,596881,46624867760000.0,19634,198727,0.3329
2019-09-26,CESC,EQ,772.0,775.2,784.2,766.75,776.6,776.1,774.7,584312,45266738880000.0,31360,273865,0.4687
2019-09-27,CESC,EQ,776.1,776.6,784.7,760.0,763.0,763.1,773.77,352405,27267995825000.0,12798,134795,0.3825
2019-09-30,CESC,EQ,763.1,763.8,765.8,735.0,746.05,746.05,745.65,405033,30201387710000.004,14192,166359,0.4107
2019-10-01,CESC,EQ,746.05,746.1,754.8,725.85,734.9,733.75,739.02,403484,29818121314999.996,15840,141452,0.3506
2019-10-03,CESC,EQ,733.75,725.0,752.85,724.6,751.5,749.0,743.13,328408,24405086270000.0,16313,184304,0.5612
2019-10-04,CESC,EQ,749.0,755.0,760.6,729.0,730.1,731.65,744.89,456441,33999927645000.0,13653,108256,0.2372
2019-10-07,CESC,EQ,731.65,732.25,742.0,724.9,734.0,731.0,734.2,230056,16890633069999.998,8042,79433,0.3453
2019-10-09,CESC,EQ,731.0,734.65,762.15,729.0,755.2,757.25,746.01,465310,34712733710000.004,19162,151444,0.32549999999999996
2019-10-10,CESC,EQ,757.25,757.0,761.85,744.2,756.0,756.1,754.67,442587,33400512300000.0,10754,108980,0.2462
2019-10-11,CESC,EQ,756.1,757.9,774.4,747.1,757.0,756.55,760.91,835889,63603652220000.01,17466,240627,0.2879
2019-10-14,CESC,EQ,756.55,757.45,778.5,757.15,770.8,769.5,770.52,365653,28174220005000.0,9984,132407,0.36210000000000003
2019-10-15,CESC,EQ,769.5,770.0,784.9,769.0,779.8,782.45,780.69,548331,42807695965000.0,18306,207034,0.3776
2019-10-16,CESC,EQ,782.45,783.0,788.95,775.1,782.8,782.3,782.27,303690,23756749415000.0,18086,123482,0.40659999999999996
